"Year","State","Plant","Long","Plant latitude","Coal","Oil","Gas","Nuclear","Hydro","Biomass","Wind","Solar","Geo","Other1","Other2"
"2018","AL","Bankhead Dam","-87.356823","33.458665","0","0","0","0","-392","0","0","0","0","0","0"
"2018","AL","Barry","-88.0103","31.0069","3,634,297","0","6,830,619","0","0","0","0","0","0","0","0"
"2018","AL","Bartletts Ferry","-85.091552","32.661976","0","0","0","0","492,524","0","0","0","0","0","0"
"2018","AL","Bellefonte","-85.9278","34.7092","","","","","","","","","","",""
"2018","AL","Boise Cascade Pulp & Paper Mill","-87.8989","31.4894","0","144","45,664","0","0","76,527","0","0","0","0","0"
"2018","AL","Browns Ferry","-87.1189","34.7042","0","0","0","25,397,781","0","0","0","0","0","0","0"
"2018","AL","Calhoun Energy Center","-85.9731","33.5883","0","28,596","167,988","0","0","0","0","0","0","0","0"
"2018","AL","Charles R Lowman","-87.910747","31.488019","1,245,578","11,064","0","0","0","0","0","0","0","0","0"
"2018","AL","Colbert","-87.8486","34.7439","0","0","68,000","0","0","0","0","0","0","0","0"
"2018","AL","Crestwood Dothan","-85.402737","31.262356","0","773","0","0","0","0","0","0","0","0","0"
"2018","AL","Cumblerland Land Holdings, LLC","-86.868053","34.94974","0","0","0","0","0","0","0","76","0","0","0"
"2018","AL","Decatur Energy Center","-87.0214","34.6292","0","0","2,702,900","0","0","0","0","0","0","0","0"
"2018","AL","Decatur-Morgan Co LFG Recovery Project","-87.101111","34.623611","0","0","0","0","0","12,556","0","0","0","0","0"
"2018","AL","District 100 Transco Gas Pipe Line","-86.72","32.668889","","","","","","","","","","",""
"2018","AL","E B Harris Generating Plant","-86.574366","32.381352","0","0","5,865,446","0","0","0","0","0","0","0","0"
"2018","AL","E C Gaston","-86.458056","33.244211","2,851,865","176","3,235,213","0","0","0","0","0","0","0","0"
"2018","AL","ExxonMobil Mobile Bay Onshore","-88.18241","30.43203","0","0","88,024","0","0","0","0","0","0","0","0"
"2018","AL","Fort Rucker Solar Array","-85.73019","31.331148","0","0","0","0","0","0","0","13,376","0","0","0"
"2018","AL","Gadsden","-85.9708","34.0128","0","0","188,877","0","0","0","0","0","0","0","0"
"2018","AL","Gantt","-86.479469","31.4033","0","0","0","0","904","0","0","0","0","0","0"
"2018","AL","Georgia-Pacific Brewton Mill","-87.1116","31.077","0","0","223,712","0","0","231,594","0","0","0","0","0"
"2018","AL","Georgia-Pacific Consr Prods LP-Naheola","-88.0252","32.2268","43,776","2,559","79,788","0","0","166,926","0","0","0","0","0"
"2018","AL","Goat Rock","-85.0805","32.60965","0","0","0","0","175,597","0","0","0","0","0","0"
"2018","AL","Gorgas","-87.196486","33.644344","5,490,646","7,242","0","0","0","0","0","0","0","0","0"
"2018","AL","Greene County","-87.7811","32.6017","0","10,826","1,162,265","0","0","0","0","0","0","0","0"
"2018","AL","Guntersville","-86.393931","34.421272","0","0","0","0","733,655","0","0","0","0","0","0"
"2018","AL","H Neely Henry Dam","-86.0524","33.7845","0","0","0","0","252,836","0","0","0","0","0","0"
"2018","AL","Harris Dam","-85.616047","33.258281","0","0","0","0","167,486","0","0","0","0","0","0"
"2018","AL","Hillabee Energy Center","-85.903278","33.000669","0","0","4,376,115","0","0","0","0","0","0","0","0"
"2018","AL","Hog Bayou Energy Center","-88.0575","30.7478","0","0","1,137,089","0","0","0","0","0","0","0","0"
"2018","AL","Holt Dam","-87.4495","33.2553","0","0","0","0","168,817","0","0","0","0","0","0"
"2018","AL","International Paper Pine Hill Mill","-87.4806","31.9698","76","1,213","47,966","0","0","426,123","0","0","0","0","0"
"2018","AL","International Paper-Prattville Mill","-86.4718","32.4187","0","2,331","121,248","0","0","435,448","0","0","0","0","0"
"2018","AL","International Paper-Riverdale Mill","-86.870912","32.426016","0","0","373,689","0","0","231,518","0","0","0","0","0"
"2018","AL","James H Miller Jr","-87.0597","33.6319","18,000,241","0","324,943","0","0","0","0","0","0","0","0"
"2018","AL","Jones Bluff","-86.784319","32.324242","0","0","0","0","286,413","0","0","0","0","0","0"
"2018","AL","Jordan Dam","-86.2548","32.6189","0","0","0","0","435,727","0","0","0","0","0","0"
"2018","AL","Joseph M Farley","-85.1116","31.2231","0","0","0","14,065,046","0","0","0","0","0","0","0"
"2018","AL","Kimberly Clark Mobile - CHP Plant","-88.04977","30.737741","","","","","","","","","","",""
"2018","AL","LaFayette Solar Farm","-85.38821","32.876313","0","0","0","0","0","0","0","160,946","0","0","0"
"2018","AL","Langdale","-85.167786","32.813836","0","0","0","0","0","0","0","0","0","0","0"
"2018","AL","Lay Dam","-86.5187","32.9633","0","0","0","0","685,072","0","0","0","0","0","0"
"2018","AL","Lewis Smith Dam","-87.1077","33.9406","0","0","0","0","237,885","0","0","0","0","0","0"
"2018","AL","Logan Martin Dam","-86.337547","33.425878","0","0","0","0","445,383","0","0","0","0","0","0"
"2018","AL","Martin Dam","-85.911442","32.680394","0","0","0","0","348,530","0","0","0","0","0","0"
"2018","AL","McIntosh (7063)","-88.0299","31.2546","0","0","432,523","0","0","0","0","0","0","0","0"
"2018","AL","McWilliams","-86.476449","31.400255","0","51","3,957,078","0","0","0","0","0","0","0","0"
"2018","AL","Millers Ferry","-87.399767","32.100881","0","0","0","0","287,505","0","0","0","0","0","0"
"2018","AL","Mitchell Dam","-86.444892","32.806025","0","0","0","0","543,305","0","0","0","0","0","0"
"2018","AL","Mobile Energy Services LLC","-88.051643","30.736487","0","0","188,964","0","0","142,486","0","0","0","0","0"
"2018","AL","Morgan Energy Center","-87.0639","34.6397","0","0","4,532,851","0","0","0","0","0","0","0","0"
"2018","AL","Muscle Shoals","-87.90454","34.76973","","","","","","","","","","",""
"2018","AL","Pinckard Solar","-85.536","31.297","","","","","","","","","","",""
"2018","AL","Plant H. Allen Franklin","-85.0975","32.6078","0","0","12,248,562","0","0","0","0","0","0","0","0"
"2018","AL","Point A","-86.518307","31.361146","0","0","0","0","13,880","0","0","0","0","0","0"
"2018","AL","Redstone Arsenal","-86.611551","34.610987","0","0","0","0","0","0","0","17,670","0","0","-49"
"2018","AL","River Bend Solar, LLC","-87.842204","34.831511","0","0","0","0","0","0","0","148,016","0","0","0"
"2018","AL","Rock-Tenn Mill","-87.9759","32.4541","0","373","6,814","0","0","284,874","0","0","0","0","0"
"2018","AL","SABIC Innovative Plastics - Burkville","-86.52542","32.310226","0","0","571,146","0","0","0","0","0","0","0","0"
"2018","AL","Sand Valley Power Station","-85.866103","34.343875","0","0","0","0","0","25,116","0","0","0","0","0"
"2018","AL","Sloss Industries Corp","-86.79873","33.568164","0","0","0","0","0","0","0","0","0","0","0"
"2018","AL","Tenaska Central Alabama Gen Station","-86.74","32.6497","0","0","4,116,919","0","0","0","0","0","0","0","0"
"2018","AL","Tenaska Lindsay Hill Generating Station","-86.7386","32.6514","0","0","1,882,859","0","0","0","0","0","0","0","0"
"2018","AL","Theodore Cogeneration","-88.128477","30.525445","0","0","1,325,015","0","0","0","0","0","0","0","0"
"2018","AL","Thurlow Dam","-85.887614","32.535436","0","0","0","0","209,097","0","0","0","0","0","0"
"2018","AL","Tom Bevill Lock and Dam Hydroelectric","-88.289611","33.210892","","","","","","","","","","",""
"2018","AL","U S Alliance Coosa Pines","-86.356825","33.328107","0","0","42,280","0","0","111,115","0","0","0","0","0"
"2018","AL","Walter Bouldin Dam","-86.283056","32.583889","0","0","0","0","687,921","0","0","0","0","0","0"
"2018","AL","Walton Discover Power Facility","-85.038879","32.54098","0","0","14,624","0","0","0","0","0","0","0","0"
"2018","AL","Washington County Cogen (Olin)","-88.0156","31.2504","0","0","809,934","0","0","0","0","0","0","0","0"
"2018","AL","Weiss Dam","-85.753806","34.172142","0","0","0","0","280,944","0","0","0","0","0","0"
"2018","AL","Westervelt Moundville Cogen","-87.655419","32.960714","0","0","0","0","0","37,819","0","0","0","0","0"
"2018","AL","WestRock Coated Board","-85.0272","32.1761","0","0","205,037","0","0","591,093","0","0","0","0","0"
